,title,artist,date,medium,dimension,image_path
2296,Portrait of Monsieur Rouland,Adolphe Joseph Thomas Monticelli,c. 1875,Oil on canvas,47 7/16 × 33 3/4 in. (120.5 × 85.8 cm),Dataset\Adolphe Joseph Thomas Monticelli\portrait-of-monsieur-rouland
2297,The Fates Gathering in the Stars,Elihu Vedder,1887,Oil on canvas,113 × 82.6 cm (44 1/2 × 32 1/2 in.),Dataset\Elihu Vedder\the-fates-gathering-in-the-stars
2298,The Annunciation,George Hitchcock,1887,Oil on canvas,158.8 × 204.5 cm (62 1/2 × 80 1/2 in.),Dataset\George Hitchcock\the-annunciation
2299,One Hundred Cranes 百鶴圖,Shen Quan,Qing dynasty (1644–1912) 清朝,Handscroll; ink and light color on silk,30.3 × 381.7 cm,Dataset\Shen Quan\one-hundred-cranes-bai-he-tu
2300,Still Life,Walter Hahn,1951,Oil on canvas,111.7 × 75.6 cm (44 × 29 3/4 in.),Dataset\Walter Hahn\still-life
2301,Escape,Joyce Wahl Treiman,1950,Oil on canvas,111.9 × 91.4 cm  (44 1/4 × 36 1/4 in.),Dataset\Joyce Wahl Treiman\escape
2302,Blue Rafters,Frederic Clay Bartlett,c. 1916,Oil on canvas,71.1 × 76.8 cm (28 × 30 1/4 in.),Dataset\Frederic Clay Bartlett\blue-rafters
2303,Figure,Pablo Picasso,1927,Oil and chalk on canvas,39 3/8 × 31 7/8 in. (100 × 81 cm),Dataset\Pablo Picasso\figure
2304,Flowers of the Four Seasons 四季花卉图,Chen Jiayan,"Qing dynasty (1644–1912), 1659 清代",Handscroll; ink on paper,28.5 × 398.0 cm (10 7/8 × 152 1/2 in.),Dataset\Chen Jiayan\flowers-of-the-four-seasons-si-ji-hua-hui-tu
2305,Return to Stone Lake,Shen Zhou,"Ming dynasty (1368–1644), dated 1466",Handscroll; ink on paper,26.1 × 157.5 cm (10 1/4 × 62 in.),Dataset\Shen Zhou\return-to-stone-lake
2306,The Peach Blossom Spring 桃花源圖,Qiu Ying,Late Ming (1368–1644) or early Qing (1644–1912) dynasty 明朝,Handscroll; ink and color on silk,32.4 × 543 cm (12 3/4 i×17 ft 9 5/8 in.),Dataset\Qiu Ying\the-peach-blossom-spring-tao-hua-yuan-tu
2307,"Anna Maria Dashwood, later Marchioness of Ely",Sir Thomas Lawrence,c. 1805,Oil on canvas,78.1 × 65.5 cm (30 3/4 × 25 3/4 in.),Dataset\Sir Thomas Lawrence\anna-maria-dashwood-later-marchioness-of-ely
2308,Thomas Lister and Family at Gisburne Park,Arthur Devis,1740/41,Oil on canvas,115.1 × 103.8 cm (45 5/16 × 40 7/8 in.),Dataset\Arthur Devis\thomas-lister-and-family-at-gisburne-park
2309,Family in a Room,British School,c. 1765,Oil on canvas,71.1 × 91.1 cm (28 × 35 7/8 in.),Dataset\British School\family-in-a-room
2310,"Sir John Shaw and his Family in the Park at Eltham Lodge, Kent",Arthur Devis,1761,Oil on canvas,134.3 × 199.1 cm (52 3/4 × 78 3/8 in.),Dataset\Arthur Devis\sir-john-shaw-and-his-family-in-the-park-at-eltham-lodge-kent
2311,Portrait of a Man,Arthur Devis,1763,Oil on canvas,76.5 × 64.1 cm (30 1/8 × 25 1/4 in.),Dataset\Arthur Devis\portrait-of-a-man
2312,Still Life: Corner of a Table,Henri Fantin-Latour,1873,Oil on canvas,37 15/16 × 49 3/16 in. (96.4 × 125 cm),Dataset\Henri Fantin-Latour\still-life-corner-of-a-table
2313,Landscape after Huang Gongwang,Wang Yuanqi,Qing Dynasty (1644–1911); dated 1701,Hanging scroll; ink and color on paper; with box,,Dataset\Wang Yuanqi\landscape-after-huang-gongwang
2314,Recluse Dwellings in the Autumn Mountains,Mi Wanzhong,"Ming dynasty (1368–1644), 1621",Handscroll; ink and colors on paper,9 1/4 × 73 3/8 in.,Dataset\Mi Wanzhong\recluse-dwellings-in-the-autumn-mountains
2315,Song of a Fisherman,Wang Wên,Ming dynasty (1368–1644),Handscroll; ink on paper,11 1/4 × 66 in.,Dataset\Wang Wên\song-of-a-fisherman
2316,L'Italienne,Georges Rouault,1937,Oil on canvas,15 7/8 × 11 5/8 in. (40.3 × 29.5 cm),Dataset\Georges Rouault\l-italienne
2317,Mount Washington,Winslow Homer,1869,Oil on canvas,41.3 × 61.8 cm (16 1/4 × 24 5/16 in.),Dataset\Winslow Homer\mount-washington
2318,Portrait of a Court Lady,Anthonis Mor,1560/70,Oil on canvas,95.8 × 77 cm (37 3/4 × 30 5/16 in.),Dataset\Anthonis Mor\portrait-of-a-court-lady
2319,Portrait Study of a Man,Anders Zorn,1901,Oil on canvas,30 × 25 in. (76.2 × 63.5 cm),Dataset\Anders Zorn\portrait-study-of-a-man
2320,Portrait of a Gentleman,Pietro Marescalchi,1540/50,Oil on canvas,115 × 95 cm (45 1/4 × 37 3/8 in.),Dataset\Pietro Marescalchi\portrait-of-a-gentleman
2321,A Vision,Joseph Stella,1925/26,Oil on canvas,203.2 × 101.6 cm (80 × 40 in.),Dataset\Joseph Stella\a-vision
2322,Watchtower with Geese (Hochsitz mit Gänsen),Sigmar Polke,1987/88,Resin and acrylic paint on various fabrics,290 × 290 cm (114 1/4 × 114 1/4 in.),Dataset\Sigmar Polke\watchtower-with-geese-hochsitz-mit-gansen
2323,Portrait of Mrs. William W. Welch,Sheldon Peck,c. 1837,Oil on canvas,65.4 × 55.3 cm (25 3/4 × 21 3/4 in.),Dataset\Sheldon Peck\portrait-of-mrs-william-w-welch
2324,Portrait of the Maistre Sisters,Baron Antoine Jean Gros,1796,Oil on canvas,"43.2 × 31.2 cm (17 × 12 1/4"")",Dataset\Baron Antoine Jean Gros\portrait-of-the-maistre-sisters
2325,Carnival in Arcueil,Lyonel Feininger,1911,Oil on canvas,41 1/4 × 37 3/4 in. (104.8 × 95.9 cm),Dataset\Lyonel Feininger\carnival-in-arcueil
2326,Excavation,Willem de Kooning,1950,Oil on canvas,"205.7 × 254.6 cm (81 × 100 1/4 in.), without frame",Dataset\Willem de Kooning\excavation
2327,Birth,Marc Chagall,1911/12,Oil on canvas,44 5/8 × 76 7/8 in. (113.4 × 195.3 cm),Dataset\Marc Chagall\birth
2328,River and Mountain Landscape,Xiang Shengmo,Ming dynasty (1368–1644),Hanging scroll; ink on paper,21 5/16 × 10 5/8 in.,Dataset\Xiang Shengmo\river-and-mountain-landscape
2329,Street Scenes in Times of Peace 太平風會圖,Zhu Yu,"Yuan dynasty (1279–1368), 14th century 元朝",Handscroll; ink and colors on paper,"26 × 790 cm (10 1/4 × 23 ft., 11 in.)",Dataset\Zhu Yu\street-scenes-in-times-of-peace-tai-ping-feng-hui-tu
2330,Landscape of the Four Seasons,Sesson Shukei,c. 1560,Six-panel screen (one of a pair); ink and light colors on paper,156.5 cm × 337 cm,Dataset\Sesson Shukei\landscape-of-the-four-seasons
2331,Landscape of the Four Seasons,Sesson Shukei,About 1560,Pair of six-panel screens; ink and light color on paper,Each: 174.2 × 357.2 cm,Dataset\Sesson Shukei\landscape-of-the-four-seasons
2332,Planting Fragrant Fungus at the Tiaozhou'an,Chen Guan,"Ming dynasty (1368–1644), 1627 (?)",Hanging scroll; ink and light color on paper,109.7 × 47.7 cm,Dataset\Chen Guan\planting-fragrant-fungus-at-the-tiaozhou-an
2333,View of Cotopaxi,Frederic Edwin Church,1857,Oil on canvas,62.2 × 92.7 cm (24 1/2 × 36 1/2 in.),Dataset\Frederic Edwin Church\view-of-cotopaxi
2334,Horizon III,Richard Artschwager,1990,Acrylic on Celotex and Formica on wood,158.7 × 144.7 × 7.62 cm (62 1/4 × 57 × 3 in.),Dataset\Richard Artschwager\horizon-iii
2335,Twelve Poetic Immortals and Their Poems,Tamechika Reizei,1850,"Pair of six-panel screens; ink, colors, and gold on paper",84 × 315 cm,Dataset\Tamechika Reizei\twelve-poetic-immortals-and-their-poems
2336,The Cotton Gin,Harry Leslie Hoffman,1919,Oil on canvas,76.2 × 101.6 cm (30 × 40 in.),Dataset\Harry Leslie Hoffman\the-cotton-gin
2337,Leo Ornstein at the Piano,Leon Kroll,1918,Oil on canvas,86.5 × 101.9 cm (34 1/16 × 40 1/8 in.),Dataset\Leon Kroll\leo-ornstein-at-the-piano
2338,European Banquet Scene,Mughal,c. 1600,Opaque watercolor and gold,Image: 18.5 × 14.2 cm (7 1/4 × 5 9/16 in.); Outermost Border: 42.5 × 29.2 cm (16 3/4 × 11 1/2 in.); Paper: 42.5 × 29.2 cm (16 3/4  × 11 1/2 in.),Dataset\Mughal\european-banquet-scene
2339,"The Young Emperor Akbar Arrests the Insolent Shah Abu’l-Maali, page from a manuscript of the Akbarnama",Basawan,c. 1590/95,Opaque watercolor and gold on paper,Image: 32 × 19.3 cm (12 5/8 × 7 9/16 in.); Outermost border: 33 × 19.6 cm (13 × 7 11/16 in.); Page: 34.4 × 20 cm (13 1/2 × 7 7/8 in.),Dataset\Basawan\the-young-emperor-akbar-arrests-the-insolent-shah-abul-maali-page-from-a-manuscript-of-the-akbarnama
2340,Beauty Holding a Flower,Mughal,", mid–17th century","Opaque watercolor, gold, and ink on paper",Image: 15.4 × 8.6 cm (6 1/6 × 3 3/8 in.); Outermost border: 19.1 × 12. 2 cm (7 1/2 × 4 13/16 in.); Paper: 27.6 × 17 cm ( 10 7/8 × 6 11/16 in.),Dataset\Mughal\beauty-holding-a-flower
2341,Prince Riding in Chariot Drawn by Goats,Mughal,c. 1585,Opaque watercolor and gold on paper,Image: 20.2 × 12.4 cm (7 7/8 × 4 7/8 in.); Outermost Border: 28 × 18.3 cm (11 × 7 5/8 in.); Paper: 28 × 18.3 cm (11 × 7 5/8 in.),Dataset\Mughal\prince-riding-in-chariot-drawn-by-goats
2342,Two Girls Performing Kathak,Mughal,18th century,Opaque watercolor and gold on paper,Image: 14 × 10.7 cm (5 1/2 × 4 1/4 in.); Outermost border: 24.6 × 19.2 cm (9 3/4 × 7 1/2 in.); Paper: 31.6 × 24 cm (12 1/2 × 9 1/2),Dataset\Mughal\two-girls-performing-kathak
2343,Blue Rhythm,Hans Hofmann,1950,Oil on canvas,121.9 × 91.4 cm (48 × 36 in.),Dataset\Hans Hofmann\blue-rhythm
2344,Bonimenteur,Georges Rouault,c. 1925,Oil on canvas,41 7/8 × 29 7/8 in. (106.5 × 76 cm),Dataset\Georges Rouault\bonimenteur
2345,Portrait of Du Jun 杜濬像,Zeng Jing,Qing dynasty (1644–1911); 17th century 清朝,Hanging scroll; ink and color on paper,53 × 19 3/4 in.,Dataset\Zeng Jing\portrait-of-du-jun-du-jun-xiang
2346,"Mount Equinox, Winter",Rockwell Kent,1921,Oil on canvas,86.6 × 111.9 cm (34 1/8 × 44 1/4 in.),Dataset\Rockwell Kent\mount-equinox-winter
2347,Painting (Figures with Stars),Joan Miró,1933,Oil on canvas,78 × 97 in. (198.1 × 246.4 cm),Dataset\Joan Miró\painting-figures-with-stars
2348,To the Dance (Apaches),Léon Gaspard,1919,Oil on canvas,81.7 × 91.8 cm (32 1/8 × 36 1/8 in.),Dataset\Léon Gaspard\to-the-dance-apaches
2349,Portrait of Emily Crane Chadbourne,Tsugouharu Foujita,1922,Tempera and silver leaf on canvas,35 1/4 × 57 1/2 in. (89.5 × 146.1 cm),Dataset\Tsugouharu Foujita\portrait-of-emily-crane-chadbourne
2350,Faintness (Matité),Georges Mathieu,1951,Oil on canvas,130.5 × 161.9 cm (51 3/8 × 63 3/4 in.),Dataset\Georges Mathieu\faintness-matite
2351,John Nicholson,Charles Willson Peale,1790,Oil on canvas,91.5 × 70 cm (36 × 27 1/2 in.),Dataset\Charles Willson Peale\john-nicholson
2352,"Mrs. John Nicholson (Hannah Duncan) and John Nicholson, Jr.",Charles Willson Peale,1790,Oil on canvas,91.5 × 69.3 cm (36 × 27 5/16 in.),Dataset\Charles Willson Peale\mrs-john-nicholson-hannah-duncan-and-john-nicholson-jr
2353,Marie de Médicis,"Frans Pourbus, the Younger",1616,Oil on canvas,39 1/4 × 30 1/2 in. (99.7 × 77.5 cm),"Dataset\Frans Pourbus, the Younger\marie-de-medicis"
2354,A Sly Drink at the Camp (Study),Eastman Johnson,1860/73,Oil on millboard,53.7 × 63.5 cm (21 1/8 × 25 in.),Dataset\Eastman Johnson\a-sly-drink-at-the-camp-study
2355,Dahlia and Daisies in a Vase,Henri Rousseau,c. 1904,Oil on canvas,13 × 9 1/2 in. (33 × 24.1 cm),Dataset\Henri Rousseau\dahlia-and-daisies-in-a-vase
2356,Mrs. Daniel Embury (Emma Catherine Manley),Artist unknown,1837/63,Oil on board,27.6 × 22.5 cm (10 15/16 × 8 15/16 in.),Dataset\Artist unknown\mrs-daniel-embury-emma-catherine-manley
2357,"View on the River Roseau, Dominica",Agostino Brunias,1770/80,Oil on canvas,84.1 × 158 cm (33 1/8 × 62 3/16 in.),Dataset\Agostino Brunias\view-on-the-river-roseau-dominica
2358,Bridge in Moonlight,Louis Michel Eilshemius,c. 1890,Oil on canvas,36.5 × 52.1 cm (14 3/8 × 20 1/2 in.),Dataset\Louis Michel Eilshemius\bridge-in-moonlight
2359,Still Life,Pablo Picasso,"February 4, 1922",Oil on canvas,32 1/8 × 39 5/8 in. (81.6 × 100.3 cm),Dataset\Pablo Picasso\still-life
2360,Chrysanthemums,Zou Yigui,"Qing dynasty (1644–1911), 18th century",Hanging scroll; ink and color on silk,41 1/4 × 19 1/4 in.,Dataset\Zou Yigui\chrysanthemums
2361,Bathers by a River,Henri Matisse,"1909–10, 1913, and 1916–1917",Oil on canvas,260 × 392 cm (102 1/2 × 154 3/16 in.),Dataset\Henri Matisse\bathers-by-a-river
2362,Pulling Oars under Clearing Autumn Skies (Distant Mountains),Lu Zhi,Ming dynasty (1368–1644); c. 1545,Hanging scroll; ink and color on paper,105.8 × 31.1 cm (41 5/8 × 12 1/ 4 in.),Dataset\Lu Zhi\pulling-oars-under-clearing-autumn-skies-distant-mountains
2363,Dream Journey to Rivers and Mountains,Cheng Zhengkui,Qing dynasty (1644–1912); c. 1655,Handscroll; ink and soft colors on paper,7 3/4 × 111 in.,Dataset\Cheng Zhengkui\dream-journey-to-rivers-and-mountains
2364,The Drinkers,Vincent van Gogh,1890,Oil on canvas,23 3/8 × 28 7/8 in. (59.4 × 73.4 cm),Dataset\Vincent van Gogh\the-drinkers
2365,Part of a Garden,Kurt Seligmann,1952,Oil on canvas,89.4 × 89.5 cm (35 3/16 × 35 1/4 in.),Dataset\Kurt Seligmann\part-of-a-garden
2366,Pillars of the Country,Yao Shou,"Ming dynasty (1368–1644), 1494",Handscroll; ink and color on paper,,Dataset\Yao Shou\pillars-of-the-country
2367,The Xuehong Pavilion in a Scholar's Garden,Qian Shumei,"Qing dynasty (1644–1911), 1831",Handscroll; ink and colors on gold-spattered paper,7 7/8 × 32 3/8 in.,Dataset\Qian Shumei\the-xuehong-pavilion-in-a-scholar-s-garden
2368,Portrait of Mme. Lisle and Mme Loubens,Hilaire Germain Edgar Degas,1866/70,Oil on canvas,84 × 96.6 cm (33 1/16 × 38 in.),Dataset\Hilaire Germain Edgar Degas\portrait-of-mme-lisle-and-mme-loubens
2369,Girl with the Green Face,Alexei Jawlensky,1910,Oil on composition board,20 15/16 × 19 9/16 in. (53.1 × 49.7 cm),Dataset\Alexei Jawlensky\girl-with-the-green-face
2370,Above the Earth,Mark Tobey,1953,Gouache on board,100.3 × 75.6 cm (39 1/4 × 29 3/4 in.),Dataset\Mark Tobey\above-the-earth
2371,The Railway Crossing (Sketch),Fernand Léger,1919,Oil on canvas,21 5/16 × 25 7/8 in. (54.1 × 65.7 cm),Dataset\Fernand Léger\the-railway-crossing-sketch
2372,Design for Security,Elizabeth Engelhard,1953,Oil on canvas,101.6 × 66.1 cm (40 × 26 in.),Dataset\Elizabeth Engelhard\design-for-security
2373,Portrait of a Woman,John Wollaston,1749/52,Oil on canvas,132.6 × 107.2 cm (52 3/16 × 42 3/16 in.),Dataset\John Wollaston\portrait-of-a-woman
2374,Portrait of a Young Man,John Wollaston,1749/52,Oil on canvas,133.4 × 107.6 cm (52 1/2 × 42 3/8 in.),Dataset\John Wollaston\portrait-of-a-young-man
2375,Les Baux,Loren MacIver,1952,Oil on canvas,121.2 × 101.6 cm (47 3/4 × 40 in.),Dataset\Loren MacIver\les-baux
2376,Portrait of a Man,Corneille de Lyon,1550/60,Oil on panel,9 7/16 × 7 5/16 in. (24 × 18.5 cm); painted surface 8 15/16 × 6 15/16 in. (22.7 × 17.6 cm ),Dataset\Corneille de Lyon\portrait-of-a-man
2377,Saint Anthony of Padua,Hans Memling,1485/90,Oil on panel,"Frame: 41.3 × 33.3 cm (16 1/4 × 13 1/8 in.)
Painted surface: 34.9 × 26.6 (13 3/4 × 10 7/16 in.)
Reverse: 34.7 × 26.5 cm (13 5/8 × 10 7/16 in.)",Dataset\Hans Memling\saint-anthony-of-padua
2378,Still Life,Fernand Léger,1928,Oil on canvas,28 7/8 × 36 1/4 in. (73.3 × 92.1 cm),Dataset\Fernand Léger\still-life
2379,Claude Monet,Albert André,1922,Oil on canvas,129.5 × 96.5 cm (51 × 38 in.),Dataset\Albert André\claude-monet
2380,Self-Portrait,Boris Israelevich Anisfeld,1910,Oil on canvas,61.9 × 39.7 cm (24 3/8 × 15 5/8 in.),Dataset\Boris Israelevich Anisfeld\self-portrait
2381,Edtaonisl (Ecclesiastic),Francis Picabia,1913,Oil on canvas,118 × 118 in. (300.4 × 300.7 cm),Dataset\Francis Picabia\edtaonisl-ecclesiastic
2382,Landscape,Oguri Sotan,15th century,"Ink and colors on paper, hanging scroll",,Dataset\Oguri Sotan\landscape
2383,Ink Landscape,Kano Motonobu,"Muromachi period, early 16th century","Hanging scroll, ink on paper",41.9 × 74.4 cm,Dataset\Kano Motonobu\ink-landscape
2384,The Crucifixion,Francisco de Zurbarán,1627,Oil on canvas,290.3 × 165.5 cm (114 5/16 × 65 3/16 in.),Dataset\Francisco de Zurbarán\the-crucifixion
2385,Fishing Recluse by an Autumn Grove (秋林漁隱圖),Sheng Mao,"late Ming/early Qing dynasty, 17th century","Hanging scroll, ink and color on paper",102.8 × 34.9 cm (40 1/2 × 13 3/4 in.),Dataset\Sheng Mao\fishing-recluse-by-an-autumn-grove-qiu-lin-yu-yin-tu
2386,Flowers and Insects,Chai Zhenyi,"Qing dynasty (1644–1911), reign of Kangxi (1662–1722) 清朝",Handscroll; ink and color on paper,27.9 × 430.6 cm (169 1/2 × 10 15/16 in.),Dataset\Chai Zhenyi\flowers-and-insects
2387,Orchids,Cheng Yusheng,"Qing dynasty (1644–1911),",Handscroll; ink on paper,12 5/16 × 195 3/8 in.,Dataset\Cheng Yusheng\orchids
2388,Saints Augustine and Peter,Workshop of Paolo Veneziano,About 1350,Tempera on panel,77.4 × 49.5 cm (30 1/2 × 19 1/2 in.),Dataset\Workshop of Paolo Veneziano\saints-augustine-and-peter
2389,Portrait of Auguste Renoir,Albert André,1914,Oil on canvas,81 × 64.5 cm (31 7/8 × 25 3/8 in.),Dataset\Albert André\portrait-of-auguste-renoir
2390,Portrait of a Woman,Charles Cottet,c. 1900,Oil on canvas,57.8 × 48.3 cm (22 3/4 × 19 in.),Dataset\Charles Cottet\portrait-of-a-woman
2391,Self-Portrait,Lucien Simon,1913,Oil on canvas,37 9/16 × 27 1/8 in.,Dataset\Lucien Simon\self-portrait
2392,George Washington,Edward Savage,1793,Oil on mahogany panel,47 × 35.9 cm (18 1/2 × 14 1/8 in.),Dataset\Edward Savage\george-washington
2393,Portrait of a Young Woman,Henri Regnault,1863,Oil on canvas,92.1 × 73 cm (36 1/4 × 28 3/4 in.),Dataset\Henri Regnault\portrait-of-a-young-woman
2394,Mrs. James Mackie,Samuel Lovett Waldo,1830/40,Oil on canvas,92.1 × 73.7 cm (36 1/4 × 29 in.),Dataset\Samuel Lovett Waldo\mrs-james-mackie
2395,Mr. James Mackie,Samuel Lovett Waldo,1830/40,Oil on canvas,92.1 × 73.7 cm (36 1/4 × 29 in.),Dataset\Samuel Lovett Waldo\mr-james-mackie
2396,Great Walls: Walls of Steel Scraping the Sky,Frederic Clay Bartlett,1920,Oil on canvas,365.8 × 350.6 cm (144 × 138 in.),Dataset\Frederic Clay Bartlett\great-walls-walls-of-steel-scraping-the-sky
2397,Great Walls: The Great Wall of China,Frederic Clay Bartlett,1920,Oil on canvas,365.8 × 350.6 cm (144 × 138 in.),Dataset\Frederic Clay Bartlett\great-walls-the-great-wall-of-china
2398,Dorothea and Francesca,Cecilia Beaux,1898,Oil on canvas,203.5 × 116.8 cm (80 1/8 × 46 in.),Dataset\Cecilia Beaux\dorothea-and-francesca
2399,Funerary Papyrus of Tayu-henut-Mut,Ancient Egyptian,"Third Intermediate Period, Dynasty 21 (about 1069-945 BCE)",Papyrus and pigment,24.5 × 101 cm (9 11/16 × 39 7/8 in.),Dataset\Ancient Egyptian\funerary-papyrus-of-tayu-henut-mut
2400,Seated Figure,Conrad Marca-Relli,1953/54,Oil and canvas on linen,186.1 × 123.2 cm (73 1/4 × 48 1/2 in.),Dataset\Conrad Marca-Relli\seated-figure
2401,"Birds, Flowers and Insects",Li Shan,"Qing dynasty (1644–1911), 18th century",Album of eight leaves; ink and color on paper,9 1/2 × 12 in. (each leaf),Dataset\Li Shan\birds-flowers-and-insects
2402,Portrait of a woman,Ferdinand Bol,c.1655,Oil on canvas,60 × 46.6 cm (23 5/8 × 18 5/16 in.),Dataset\Ferdinand Bol\portrait-of-a-woman
2403,Virgin and Child with Two Angels,Sandro Botticelli,1485/95,Tempera on panel,"Diameter: 34.4 cm (13 1/2 in.)
Painted surface: Diameter: 32.5 cm (12 13/16 in.)",Dataset\Sandro Botticelli\virgin-and-child-with-two-angels
2404,Virgin and Child with an Angel,Sandro Botticelli,1475/85,Tempera on panel,33 3/4 × 23 1/4 in. (85.8 × 59.1 cm),Dataset\Sandro Botticelli\virgin-and-child-with-an-angel
2405,Portrait of a Man,Follower of Anthonie van Dyck,1625/30,Oil on canvas,108 × 80 cm (42 1/2 × 31 ½ in.),Dataset\Follower of Anthonie van Dyck\portrait-of-a-man
2406,The Adoration of the Christ Child,Vincenzo Frediani,c. 1490,Tempera on panel,"52 × 47.2 cm (20 1/2 × 18 9/16 in.)
Painted surface: 19 7/8 × 18 in. (50.5 × 45.7 cm)",Dataset\Vincenzo Frediani\the-adoration-of-the-christ-child
2407,A Lady Reading (Saint Mary Magdalene),Master of the Female Half-Lengths,About 1530,Oil on panel,52.4 × 37.5 cm (20 5/8 × 14 3/4 in.),Dataset\Master of the Female Half-Lengths\a-lady-reading-saint-mary-magdalene
2408,Portrait of a Young Lady,Paulus Moreelse,c. 1620,Oil on panel,71.5 × 57.4 cm (28 1/8 × 22 5/8 in.),Dataset\Paulus Moreelse\portrait-of-a-young-lady
2409,Portrait of Don Juan of Austria,Alonso Sánchez Coello,1559/60,"Oil on panel, transferred to canvas","40.3 × 27.6 cm (15 7/8 × 10 7/8 in.)
Painted surface: 39.4 × 27 cm (15 11/16 × 10 3/4 in.)",Dataset\Alonso Sánchez Coello\portrait-of-don-juan-of-austria
2410,Young Man in a Turban,Follower of Rembrandt van Rijn,c. 1650,Oil on panel,57.3 × 47.4 cm (22 9/16 × 18 5/8 in.),Dataset\Follower of Rembrandt van Rijn\young-man-in-a-turban
2411,"Nicolas Rubens, the artist's son",Peter Paul Rubens,late 1630s,Oil on panel,73.7 × 59.1 cm (29 × 23 1/4 in.),Dataset\Peter Paul Rubens\nicolas-rubens-the-artist-s-son
2412,"Isabella of Bourbon, Wife of Philip IV of Spain",Studio of Diego Rodriguez de Velázquez,c. 1632,Oil on canvas,126.4 × 101.6 cm (49 3/4 × 40 in.),Dataset\Studio of Diego Rodriguez de Velázquez\isabella-of-bourbon-wife-of-philip-iv-of-spain
2413,House on a River,Paul Cezanne,1885/90,Oil on canvas,20 1/4 × 24 1/8 in. (51.4 × 62.3 cm),Dataset\Paul Cezanne\house-on-a-river
2414,Warriors and Philosophers,Giorgio de Chirico,1928,Oil on panel,27 11/16 × 23 3/16 in. (70.3 × 58.9 cm),Dataset\Giorgio de Chirico\warriors-and-philosophers
2415,Landscape,Marcel Ordinaire,1867,Oil on canvas,53.5 × 81 cm (21 × 31 78/8 in.),Dataset\Marcel Ordinaire\landscape
2416,"Saints Apollonia, Barbara, and Agatha",Master Alejo (Alejo Andía?),1490/1500,Tempera on panel,"22 1/4 × 48 in. (56.5 × 122 cm); painted surface: Saint Apollonia, 16 1/8 × 14 1/8 in. (41 × 36 cm); Saint Barbara, 15 7/8 × 14 1/8 in. (40.5 × 36 cm); Saint Agatha, 15 7/8 × 14 1/8 in. (40.5 × 36 cm)",Dataset\Master Alejo (Alejo Andía?)\saints-apollonia-barbara-and-agatha
